Item,Price,Link
(2) Flyback Transformer,$46,https://www.amazon.com/TEAMWILL-Transformer-BSC24-39202-BSC26-N2137-BSC26-N2138/dp/B09P2Y9X9F/
24V 25A Power Supply,$30,https://www.amazon.com/BOSYTRO-Upgraded-Switching-Universal-Transformers/dp/B0DPB51MB6/r
PCB ,$33,JLCPCB
Dual RCA to 3.5mm Cable,$5,https://www.amazon.com/Headphone-Adapter-Splitter-Connects-Smartphone/dp/B09GW6JHY6
AC Mains Cable,$6,https://www.amazon.com/Standard-Electronics-Computer-Printer-Monitor/dp/B09VRLJD7J
33K Resistors,$0.30,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT33K0/1742191
16V 1000uF Capacitors,$1,https://www.digikey.com/en/products/detail/rubycon/16YXJ1000MT810X16/3134825
35V 3300uF Capacitors,$9,https://www.digikey.com/en/products/detail/nichicon/UHE1V332MHD/589341
2N3904,$1,https://www.digikey.com/en/products/detail/diotec-semiconductor/2N3904/13164701
100nF Capacitors,$1.62,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5TL2/286538
10K Resistors,$0.40,https://www.digikey.com/en/products/detail/yageo/MFR-25FRF52-10K/14626
NE555,$1.12,https://www.digikey.com/en/products/detail/texas-instruments/NE555P/277057
1uF Film Caps,$4,https://www.digikey.com/en/products/detail/tdk/B32672P6105K000/6160336
IRFP460APBF,$13,https://www.digikey.com/en/products/detail/vishay-siliconix/IRFP460APBF/811589
IRFP460 Subs,$14,https://www.amazon.com/PMMCON-IRFP460-MOSFET-N-Channel-Transistor/dp/B0C2W6KSV4/r
:7812,$2,https://www.digikey.com/en/products/detail/stmicroelectronics/L7812CV/585973
RCJ-044,$7,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/RCJ-044/408508?s=N4IgTCBcDaIEoGEBSBaADAFgyAugXyA
TO220 Heatsinks,$8,https://www.amazon.com/Awxlumv-Heatsink-30mmx34mmx12mm-Regulator-Transistor/dp/B0DK372ZWT
Screw Terminals,$9,https://www.amazon.com/Tugermoola-Terminal-Connector-Connectors-Terminals/dp/B0D1GSBQWF/
,,
Digikey Total,$65,
Amazon Total,$118,
JLCPCB,$33,
,,
Total,$216,
